,PtxID,TrialNum,height,tempos,TargetID,TargetLateral,TargetVertical,MaxVel_Real,MaxVel_Virt,Lag,PathOffset,PathOffsetNoLag,EndError,EndError_cleaned,PathOffset_cleaned,PathOffsetNoLag_cleaned
249,Katrina,34,low,80,row_C6,right,close,0.4185583233534196,0.4537443387699679,35.2,3.62,5.35,5.24,2.00932115562082,1.6537097582098648,4.000249331473548
250,Katrina,35,low,80,row_B5,right,middle,0.3971881160626469,0.5774463817717757,0.0,2.35,2.35,2.68,1.3916014412483912,1.2850758050781375,1.9682505957493923
251,Katrina,36,low,80,row_A1,left,far,0.3682578666896029,0.4150603669960351,41.2,3.76,5.79,1.05,0.7442322135284019,1.6885515156159614,4.275093613774842
252,Katrina,37,low,80,row_A3,center,far,0.6693070722818609,0.7424616197749714,0.0,1.52,1.52,0.6,0.4812238946895775,0.9683185250667603,1.3334586578316354
253,Katrina,38,low,80,row_A6,right,far,0.3948733100371583,0.39739877106964605,0.0,3.3,3.3,3.46,1.6127074644759531,1.5703593010346784,2.6481057771014114
254,Katrina,39,low,80,row_B6,right,middle,0.42504390918321416,0.4337485498122705,39.4,3.82,5.19,4.61,1.8821843508259306,1.7032020728540842,3.899136381756671
255,Katrina,40,low,80,row_C3,center,close,0.2817323077749194,0.3428997174602346,32.8,1.44,3.72,1.5,0.9595822638521723,0.9329907995805331,2.9363457664883654
256,Katrina,41,low,80,row_A2,left,far,0.2377069462381849,0.35584391461507753,0.0,2.35,2.35,2.32,1.274928808726321,1.2850758050781375,1.9682505957493923
257,Katrina,42,low,80,row_B2,left,middle,0.2626538280342954,0.2905387232493916,28.8,1.9,4.27,1.9,1.123457499326046,1.123457499326046,3.304303087382037
258,Katrina,43,low,80,row_C2,left,close,0.2862904615331029,0.3708205270476732,63.8,2.3,7.15,3.49,1.6204951590347183,1.2681181999924207,5.098087722770095
259,Katrina,44,low,80,row_B4,center,middle,0.2651212366955858,0.3090007802235034,0.0,1.36,1.36,1.38,0.9058041873472433,0.8966048046108566,1.2054330488098552
260,Katrina,45,low,80,row_A4,center,far,0.25458087136668106,0.4364951939180723,0.0,1.46,1.46,0.84,0.6287399711229935,0.9419193834360873,1.2856942170793422
261,Katrina,46,low,80,row_C4,center,close,0.3583247186304366,0.3910877945789589,28.1,1.89,4.15,2.06,1.1833558100765806,1.1196158593857874,3.2248748700821808
262,Katrina,47,low,80,row_A5,right,far,0.35837529509227084,0.3892929992533437,27.3,2.2,3.89,2.01,1.16494658205619,1.2334976252295826,3.05116976137761
263,Katrina,48,low,80,row_B3,center,middle,0.2955837227742472,0.35097430017639564,0.0,0.99,0.99,0.3,0.26583631304232025,0.712363662277915,0.9006428766080393
264,Katrina,49,low,80,row_C5,right,close,0.3803753006017628,0.40602271704540976,32.8,2.09,4.21,1.93,1.134911305486308,1.19427181170775,3.2646461501364104
265,Katrina,50,low,80,row_B1,left,middle,0.5614214639232862,0.5509972680031682,0.0,3.15,3.15,4.3,1.8148329891961557,1.5293496356865188,2.5434792742486096
266,Katrina,51,low,80,row_C1,left,close,0.3959798619623041,0.4385239062243154,38.2,2.63,5.03,3.23,1.55138441204824,1.376028266674394,3.797367838469776
